id	trackID	datetime
20	1	2020-04-12 09:00:00
20	1	2020-04-12 09:05:00
20	1	2020-04-12 09:10:00
21	1	2020-04-12 09:30:00
21	1	2020-04-12 09:35:00
21	1	2020-04-12 09:40:00
1	2	2020-07-15 09:00:00
1	2	2020-07-15 09:05:00
1	2	2020-07-15 09:10:00
1	2	2020-07-15 10:00:00
1	2	2020-07-15 10:05:00
1	2	2020-07-15 10:10:00
5	3	2020-04-12 10:00:00
5	3	2020-04-12 10:05:00
4	3	2020-04-12 10:10:00
4	3	2020-04-12 14:30:00
4	3	2020-04-12 14:35:00
4	3	2020-04-12 14:40:00
2	4	2020-04-12 11:00:00
2	4	2020-04-12 11:05:00
2	4	2020-04-12 11:10:00
2	4	2020-07-15 09:15:00
2	4	2020-07-15 09:20:00
2	4	2020-07-15 09:25:00
3	5	2020-07-15 09:30:00
3	5	2020-07-15 09:35:00
3	5	2020-07-15 09:40:00
4	5	2020-07-15 09:45:00
4	5	2020-07-15 09:50:00
5	6	2020-04-12 09:20:00
5	6	2020-04-12 09:25:00
5	6	2020-04-12 09:30:00
5	6	2020-04-12 12:00:00
3	6	2020-04-12 12:05:00
3	6	2020-04-12 12:10:00
8	6	2020-07-15 10:00:00
8	6	2020-07-15 10:05:00
8	6	2020-07-15 10:10:00
6	7	2020-04-12 10:00:00
6	7	2020-04-12 10:05:00
6	7	2020-04-12 10:10:00
6	7	2020-04-12 14:00:00
6	7	2020-04-12 14:05:00
6	7	2020-04-12 14:10:00
9	8	2020-04-12 14:30:00
9	8	2020-04-12 14:35:00
9	8	2020-04-12 14:40:00
7	8	2020-07-15 09:00:00
7	8	2020-07-15 09:05:00
7	8	2020-07-15 09:10:00
6	8	2020-07-15 10:10:00
6	8	2020-07-15 10:15:00
6	8	2020-07-15 10:20:00
8	9	2020-04-12 11:00:00
8	9	2020-04-12 11:05:00
8	9	2020-04-12 11:10:00
8	9	2020-04-12 15:10:00
8	9	2020-04-12 15:15:00
8	9	2020-04-12 15:20:00
7	10	2020-07-15 09:10:00
7	10	2020-07-15 09:15:00
7	10	2020-07-15 09:20:00
9	10	2020-07-15 10:20:00
9	10	2020-07-15 10:25:00
9	10	2020-07-15 10:30:00
10	11	2020-04-12 11:20:00
10	11	2020-04-12 11:25:00
10	11	2020-04-12 11:30:00
10	11	2020-04-12 15:30:00
